timestamp,depth,node_id,case_creation,user_query,assistant_response
2025-07-05T12:38:04.869989,0,BF516058,True,I want to reschedule my ticket,"I understand your query about 'I want to reschedule my ticket'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:38:09.281777,1,89AC71BB,True,How do I contact the support team?,"I understand your query about 'How do I contact the support team?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:38:13.890183,2,A4E2359C,True,Can you provide the support team contact number?,"I understand your query about 'Can you provide the support team contact number?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:38:18.732376,3,5B0D0F12,True,Can you give me the contact information for customer support?,"I understand your query about 'Can you give me the contact information for customer support?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:38:22.614098,4,00B919E5,True,Can you provide the customer support phone number?,"I understand your query about 'Can you provide the customer support phone number?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:38:27.160434,5,F963827D,True,How can I contact customer support for immediate assistance?,"I understand your query about 'How can I contact customer support for immediate assistance?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:34.200788,0,58DF7863,True,what is the latest status of my pnr,"I understand your query about 'what is the latest status of my pnr'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:40.754390,1,D18CD5DD,True,Can you provide the contact details for your support team?,"I understand your query about 'Can you provide the contact details for your support team?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:44.578243,2,C40AD189,True,What is the phone number for your customer support team?,"I understand your query about 'What is the phone number for your customer support team?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:48.309032,3,0678E71F,True,Can you please provide the contact number for your customer support team?,"I understand your query about 'Can you please provide the contact number for your customer support team?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:52.057541,4,1504FD08,True,Can you give me the contact details for customer support?,"I understand your query about 'Can you give me the contact details for customer support?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
2025-07-05T12:42:56.496529,5,17BD1163,True,Can you please give me the customer support number?,"I understand your query about 'Can you please give me the customer support number?'. Let me help you with that. Due to a technical issue, I'll need to connect you with our support team."
